Number,Account number,Sort code,First Name,Last Name,Name,Fraud
1,12345678,356004,Olivia,Johnson,Olivia Johnson,N
2,98765432,727595,Ethan,Martinez,Ethan Martinez,Y
3,87654321,749876,Sophia,Lee,Sophia Lee,Y
4,23456789,556188,Liam,Adams,Liam Adams,Y
5,34567890,570559,Ava,Wright,Ava Wright,Y
6,56789012,254042,Noah,Turner,Noah Turner,Y
7,89012345,687577,Isabella,Harris,Isabella Harris,Y
8,54321098,390828,Oliver,Robinson,Oliver Robinson,Y
9,67890123,780825,Emma,Hall,Emma Hall,Y
10,45678901,668698,William,Mitchell,William Mitchell,Y
11,10987654,796237,Amelia,White,Amelia White,Y
12,21098765,181585,James,Clark,James Clark,N
13,76543210,587322,Charlotte,Scott,Charlotte Scott,Y
14,87654321,398024,Benjamin,Green,Benjamin Green,Y
15,98765432,509935,Mia,King,Mia King,Y
16,12345678,606526,Henry,Baker,Henry Baker,Y
17,23456789,292486,Abigail,Carter,Abigail Carter,Y
18,34567890,764248,Alexander,Young,Alexander Young,Y
19,56789012,146082,Emily,Evans,Emily Evans,Y
20,89012345,716923,Daniel,Murphy,Daniel Murphy,Y
21,54321098,607478,Harper,Turner,Harper Turner,Y
22,67890123,141594,Matthew,Lewis,Matthew Lewis,Y
23,45678901,538522,Elizabeth,Allen,Elizabeth Allen,N
24,10987654,647421,Michael,Parker,Michael Parker,Y
25,21098765,759053,Ella,Adams,Ella Adams,Y
26,76543210,743412,Joseph,Wright,Joseph Wright,Y
27,87654321,121630,Grace,Martin,Grace Martin,Y
28,98765432,412786,Samuel,Hill,Samuel Hill,Y
29,12345678,102889,Chloe,Nelson,Chloe Nelson,Y
30,23456789,319313,David,Foster,David Foster,Y
31,34567890,737727,Lily,Morris,Lily Morris,Y
32,56789012,448439,Christopher,Ward,Christopher Ward,Y
33,89012345,252984,Sofia,Cooper,Sofia Cooper,Y
34,54321098,756042,Andrew,Ross,Andrew Ross,N
35,67890123,535984,Scarlett,Butler,Scarlett Butler,Y
36,45678901,437550,Logan,Simmons,Logan Simmons,Y
37,10987654,629596,Victoria,Reed,Victoria Reed,Y
38,21098765,197227,John,Hughes,John Hughes,Y
39,76543210,558825,Avery,Price,Avery Price,Y
40,87654321,557016,Ryan,Bennett,Ryan Bennett,Y
41,98765432,175892,Evelyn,Gray,Evelyn Gray,Y
42,12345678,205147,Nicholas,James,Nicholas James,Y
43,23456789,338951,Addison,Foster,Addison Foster,Y
44,34567890,393208,Jacob,Richardson,Jacob Richardson,Y
45,56789012,117150,Natalie,Brooks,Natalie Brooks,N
46,89012345,386077,William,Turner,William Turner,Y
47,54321098,353889,Zoe,Phillips,Zoe Phillips,Y
48,67890123,225070,Daniel,Adams,Daniel Adams,Y
49,45678901,284025,Hannah,Parker,Hannah Parker,Y
50,10987654,500189,Matthew,Collins,Matthew Collins,Y
51,21098765,243034,Audrey,Rogers,Audrey Rogers,Y
52,76543210,640800,Josephine,Hayes,Josephine Hayes,Y
53,87654321,768846,Gabriel,Powell,Gabriel Powell,Y
54,98765432,685517,Madison,Foster,Madison Foster,Y
55,12345678,594690,Anthony,Wood,Anthony Wood,Y
56,23456789,103555,Aria,Simmons,Aria Simmons,N
57,34567890,296558,Samuel,Bennett,Samuel Bennett,Y
58,56789012,699776,Grace,Mitchell,Grace Mitchell,Y
59,89012345,406666,Christopher,Ward,Christopher Ward,Y
60,54321098,722810,Aubrey,Price,Aubrey Price,Y
61,67890123,767278,David,Foster,David Foster,Y
62,45678901,290450,Luna,Reed,Luna Reed,Y
63,10987654,781703,Elijah,Hughes,Elijah Hughes,Y
64,21098765,127678,Stella,Gray,Stella Gray,Y
65,76543210,450849,Caleb,James,Caleb James,Y
66,87654321,536712,Hazel,Butler,Hazel Butler,Y
67,98765432,795552,Isaac,Simmons,Isaac Simmons,N
68,12345678,706848,Lillian,Brooks,Lillian Brooks,Y
69,23456789,437516,Jackson,Turner,Jackson Turner,Y
70,34567890,276687,Eleanor,Phillips,Eleanor Phillips,Y
71,56789012,299330,Lucas,Adams,Lucas Adams,Y
72,89012345,625696,Aurora,Parker,Aurora Parker,Y
73,54321098,799251,Sebastian,Collins,Sebastian Collins,Y
74,67890123,586185,Penelope,Rogers,Penelope Rogers,Y
75,45678901,600656,Owen,Hayes,Owen Hayes,Y
76,10987654,371346,Scarlett,Powell,Scarlett Powell,Y
77,21098765,336403,Grayson,Foster,Grayson Foster,Y
78,76543210,298861,Violet,Bennett,Violet Bennett,N
79,87654321,739151,Julian,Mitchell,Julian Mitchell,Y
80,98765432,214155,Layla,Ward,Layla Ward,Y
81,12345678,758029,Carter,Price,Carter Price,Y
82,23456789,683846,Ruby,Reed,Ruby Reed,Y
83,34567890,796974,Levi,Hughes,Levi Hughes,Y
84,56789012,155197,Nova,Gray,Nova Gray,Y
85,89012345,105319,Hunter,James,Hunter James,Y
86,54321098,122200,Zara,Butler,Zara Butler,Y
87,67890123,464122,Wyatt,Simmons,Wyatt Simmons,Y
